_id,name,property_ids[0],property_ids[1],property_ids[2],property_ids[3]
67562050b4fb0dbff644bab0,Aeterna Ears,67562083b4fb0dbff644bb1a,67562083b4fb0dbff644bb28,67562083b4fb0dbff644bb19,67562083b4fb0dbff644bb1e
67562050b4fb0dbff644bab1,Amillaria,67562083b4fb0dbff644bb1f,67562083b4fb0dbff644bb23,67562083b4fb0dbff644bb1e,67562083b4fb0dbff644bb2f
67562050b4fb0dbff644bab2,Artichoke,67562083b4fb0dbff644bb20,67562083b4fb0dbff644bb26,67562083b4fb0dbff644bb21,67562083b4fb0dbff644bb31
67562050b4fb0dbff644bab3,Baldris Root,67562083b4fb0dbff644bb21,67562083b4fb0dbff644bb33,67562083b4fb0dbff644bb25,67562083b4fb0dbff644bb24
67562050b4fb0dbff644bab4,Bear Claw,67562083b4fb0dbff644bb1a,67562083b4fb0dbff644bb28,67562083b4fb0dbff644bb2b,67562083b4fb0dbff644bb1b
67562050b4fb0dbff644bab5,Bee,67562083b4fb0dbff644bb1a,67562083b4fb0dbff644bb25,67562083b4fb0dbff644bb1b,67562083b4fb0dbff644bb24
67562050b4fb0dbff644bab6,Bird Egg,67562083b4fb0dbff644bb26,67562083b4fb0dbff644bb27,67562083b4fb0dbff644bb1b,67562083b4fb0dbff644bb2e
67562050b4fb0dbff644bab7,Black Claw,67562083b4fb0dbff644bb28,67562083b4fb0dbff644bb2b,67562083b4fb0dbff644bb31,67562083b4fb0dbff644bb24
67562050b4fb0dbff644bab8,Blue Butterfly Wing,67562083b4fb0dbff644bb1a,67562083b4fb0dbff644bb1d,67562083b4fb0dbff644bb16,67562083b4fb0dbff644bb1e
67562050b4fb0dbff644bab9,Bone Meal,67562083b4fb0dbff644bb20,67562083b4fb0dbff644bb27,67562083b4fb0dbff644bb1b,67562083b4fb0dbff644bb24
67562050b4fb0dbff644baba,Bug Eggs,67562083b4fb0dbff644bb1f,67562083b4fb0dbff644bb26,67562083b4fb0dbff644bb1b,67562083b4fb0dbff644bb2f
67562050b4fb0dbff644babb,Chicken Egg,67562083b4fb0dbff644bb1f,67562083b4fb0dbff644bb28,67562083b4fb0dbff644bb1b,67562083b4fb0dbff644bb2e
67562050b4fb0dbff644babc,Claw,67562083b4fb0dbff644bb18,67562083b4fb0dbff644bb25,67562083b4fb0dbff644bb22,67562083b4fb0dbff644bb2b
67562050b4fb0dbff644babd,Crab Shell,67562083b4fb0dbff644bb1c,67562083b4fb0dbff644bb1f,67562083b4fb0dbff644bb17,67562083b4fb0dbff644bb22
67562050b4fb0dbff644babe,Dark Tartak,67562083b4fb0dbff644bb2f,67562083b4fb0dbff644bb21,67562083b4fb0dbff644bb1e,67562083b4fb0dbff644bb2c
67562050b4fb0dbff644babf,Date,67562083b4fb0dbff644bb20,67562083b4fb0dbff644bb2d,67562083b4fb0dbff644bb1d,67562083b4fb0dbff644bb18
67562050b4fb0dbff644bac0,Demon Heart,67562083b4fb0dbff644bb1a,67562083b4fb0dbff644bb1f,67562083b4fb0dbff644bb28,67562083b4fb0dbff644bb16
67562050b4fb0dbff644bac1,Ectoplasm,67562083b4fb0dbff644bb2e,67562083b4fb0dbff644bb21,67562083b4fb0dbff644bb1b,67562083b4fb0dbff644bb24
67562050b4fb0dbff644bac2,Endralean Cotton,67562083b4fb0dbff644bb20,67562083b4fb0dbff644bb1f,67562083b4fb0dbff644bb28,67562083b4fb0dbff644bb27
67562050b4fb0dbff644bac3,Ethereal Ectoplasm,67562083b4fb0dbff644bb2a,67562083b4fb0dbff644bb1f,67562083b4fb0dbff644bb32,67562083b4fb0dbff644bb2c
67562050b4fb0dbff644bac4,Feathers,67562083b4fb0dbff644bb23,67562083b4fb0dbff644bb22,67562083b4fb0dbff644bb29,67562083b4fb0dbff644bb24
67562050b4fb0dbff644bac5,Feline Cat Teeth,67562083b4fb0dbff644bb28,67562083b4fb0dbff644bb25,67562083b4fb0dbff644bb19,67562083b4fb0dbff644bb2c
